,Swap_01,Swap_02,Swap_03,Swap_04,Swap_05,Swap_07,Swap_10,Swap_30
7/3/2000,7.1,7.16,7.17,7.17,7.17,7.2,7.24,7.24
7/5/2000,7.03,7.06,7.07,7.07,7.08,7.11,7.14,7.16
7/6/2000,7.07,7.13,7.14,7.15,7.16,7.19,7.21,7.21
7/7/2000,7.01,7.04,7.06,7.06,7.07,7.1,7.14,7.14
7/10/2000,7.04,7.09,7.11,7.13,7.14,7.17,7.2,7.19
7/11/2000,7.04,7.1,7.11,7.13,7.14,7.18,7.22,7.2
7/12/2000,7.06,7.12,7.14,7.15,7.17,7.2,7.23,7.19
7/13/2000,7.04,7.09,7.1,7.12,7.13,7.16,7.19,7.13
7/14/2000,7.08,7.14,7.16,7.17,7.19,7.21,7.23,7.17
7/17/2000,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.28
7/18/2000,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.29
7/19/2000,7.13,7.22,7.25,7.27,7.29,7.32,7.36,7.3
7/20/2000,7.07,7.14,7.16,7.18,7.21,7.24,7.29,7.23
7/21/2000,7.03,7.09,7.11,7.12,7.14,7.18,7.21,7.16
7/24/2000,7.04,7.12,7.14,7.16,7.17,7.2,7.24,7.19
7/25/2000,7.03,7.1,7.11,7.13,7.15,7.18,7.23,7.17
7/26/2000,7.02,7.08,7.1,7.11,7.13,7.17,7.21,7.17
7/27/2000,7.01,7.07,7.09,7.1,7.11,7.15,7.2,7.15
7/28/2000,7.03,7.09,7.11,7.13,7.15,7.19,7.23,7.19
7/31/2000,7.06,7.12,7.14,7.16,7.18,7.22,7.26,7.21
8/1/2000,7.04,7.08,7.1,7.12,7.14,7.18,7.23,7.17
8/2/2000,7.02,7.06,7.08,7.1,7.12,7.16,7.2,7.18
8/3/2000,6.98,7.02,7.04,7.05,7.07,7.11,7.16,7.13
8/4/2000,6.94,6.97,6.98,7,7.02,7.06,7.11,7.09
8/7/2000,6.94,6.97,6.98,7,7.03,7.06,7.09,7.06
8/8/2000,6.94,6.97,6.99,7.01,7.03,7.06,7.09,7.07
8/9/2000,6.93,6.96,6.97,7,7.02,7.05,7.09,7.07
8/10/2000,6.9,6.92,6.94,6.96,6.98,7.01,7.06,7.05
8/11/2000,6.92,6.94,6.95,6.95,6.97,6.99,7.02,7
8/14/2000,6.96,7,7.02,7.04,7.05,7.07,7.09,7.05
8/15/2000,6.96,6.99,7,7.01,7.03,7.04,7.06,7.02
8/16/2000,6.96,7.01,7.02,7.03,7.04,7.06,7.08,7.04
8/17/2000,6.97,7.01,7.02,7.03,7.04,7.06,7.09,7.05
8/18/2000,6.96,7.01,7.02,7.03,7.04,7.07,7.08,7.06
8/21/2000,6.95,6.98,6.99,7,7.02,7.04,7.07,7.05
8/22/2000,6.95,6.98,6.99,7.01,7.03,7.05,7.08,7.06
8/23/2000,6.93,6.95,6.95,6.95,6.96,6.98,7.01,7
8/24/2000,6.91,6.93,6.93,6.94,6.94,6.96,6.99,6.98
8/25/2000,6.9,6.91,6.92,6.92,6.92,6.94,6.97,6.96
8/28/2000,6.92,6.94,6.94,6.94,6.94,6.96,6.99,6.99
8/29/2000,6.93,6.97,6.97,6.98,6.99,7.02,7.06,7.05
8/30/2000,6.94,6.99,7,7.01,7.03,7.06,7.09,7.08
8/31/2000,6.91,6.93,6.94,6.95,6.96,6.99,7.03,7.03
9/1/2000,6.84,6.85,6.85,6.86,6.87,6.91,6.96,6.97
9/5/2000,6.83,6.83,6.83,6.84,6.85,6.88,6.93,6.94
9/6/2000,6.85,6.86,6.86,6.87,6.88,6.92,6.97,6.99
9/7/2000,6.84,6.85,6.86,6.87,6.89,6.93,6.99,7
9/8/2000,6.84,6.85,6.86,6.88,6.91,6.95,7.02,7.02
9/11/2000,6.85,6.87,6.88,6.91,6.93,6.98,7.04,7.03
9/12/2000,6.84,6.86,6.88,6.9,6.93,6.98,7.05,7.06
9/13/2000,6.82,6.82,6.83,6.85,6.87,6.93,6.99,7.03
9/14/2000,6.81,6.8,6.8,6.82,6.84,6.9,6.96,7.02
9/15/2000,6.79,6.78,6.79,6.82,6.86,6.94,7.03,7.11
9/18/2000,6.77,6.76,6.77,6.81,6.86,6.95,7.05,7.11
9/19/2000,6.77,6.75,6.77,6.81,6.85,6.94,7.04,7.12
9/20/2000,6.77,6.75,6.77,6.81,6.85,6.94,7.04,7.12
9/21/2000,6.78,6.79,6.82,6.86,6.91,6.99,7.07,7.13
9/22/2000,6.74,6.73,6.76,6.8,6.84,6.92,7,7.08
9/25/2000,6.78,6.78,6.8,6.82,6.86,6.93,7,7.04
9/26/2000,6.78,6.76,6.78,6.81,6.84,6.91,6.98,7.02
9/27/2000,6.77,6.75,6.77,6.8,6.83,6.89,6.96,7.02
9/28/2000,6.78,6.74,6.75,6.78,6.81,6.88,6.95,7.02
9/29/2000,6.75,6.69,6.7,6.72,6.75,6.81,6.89,6.97
10/2/2000,6.77,6.71,6.71,6.74,6.77,6.85,6.93,7.02
10/3/2000,6.75,6.68,6.69,6.72,6.75,6.82,6.9,6.99
10/4/2000,6.78,6.74,6.75,6.78,6.81,6.88,6.96,7.02
10/5/2000,6.78,6.75,6.77,6.81,6.85,6.92,7.01,7.05
10/6/2000,6.79,6.76,6.78,6.81,6.85,6.92,7.01,7.04
10/10/2000,6.78,6.76,6.78,6.81,6.85,6.92,7,7.05
10/11/2000,6.74,6.69,6.71,6.75,6.79,6.87,6.97,7.04
10/12/2000,6.71,6.66,6.68,6.72,6.76,6.84,6.95,7.03
10/13/2000,6.68,6.63,6.65,6.7,6.74,6.83,6.93,7.01
10/16/2000,6.69,6.65,6.67,6.7,6.74,6.82,6.92,7
10/17/2000,6.68,6.63,6.65,6.68,6.72,6.79,6.89,6.97
10/18/2000,6.63,6.57,6.58,6.62,6.66,6.75,6.86,6.96
10/19/2000,6.64,6.57,6.59,6.61,6.65,6.71,6.8,6.88
10/20/2000,6.65,6.59,6.6,6.62,6.65,6.71,6.79,6.86
10/23/2000,6.65,6.57,6.57,6.59,6.61,6.67,6.74,6.82
10/24/2000,6.66,6.59,6.59,6.61,6.63,6.68,6.75,6.81
10/25/2000,6.65,6.59,6.59,6.62,6.64,6.7,6.77,6.85
10/26/2000,6.67,6.61,6.62,6.64,6.67,6.73,6.79,6.84
10/27/2000,6.69,6.63,6.65,6.67,6.7,6.76,6.81,6.86
10/30/2000,6.71,6.67,6.68,6.72,6.76,6.81,6.86,6.87
10/31/2000,6.69,6.64,6.67,6.7,6.73,6.78,6.83,6.87
11/1/2000,6.67,6.61,6.64,6.68,6.72,6.79,6.86,6.92
11/2/2000,6.66,6.59,6.62,6.66,6.7,6.76,6.82,6.86
11/3/2000,6.69,6.63,6.66,6.7,6.75,6.81,6.88,6.91
11/6/2000,6.71,6.67,6.71,6.76,6.8,6.88,6.95,6.99
11/7/2000,6.71,6.66,6.7,6.76,6.8,6.88,6.95,7
11/8/2000,6.72,6.68,6.72,6.77,6.82,6.9,6.98,7
11/9/2000,6.7,6.64,6.68,6.72,6.77,6.85,6.93,6.97
11/10/2000,6.67,6.62,6.65,6.71,6.77,6.85,6.94,7
11/13/2000,6.64,6.58,6.61,6.67,6.72,6.81,6.91,6.98
11/14/2000,6.67,6.6,6.64,6.69,6.73,6.81,6.9,6.97
11/15/2000,6.66,6.59,6.62,6.67,6.71,6.78,6.86,6.93
11/16/2000,6.65,6.57,6.6,6.64,6.68,6.75,6.82,6.88
11/17/2000,6.65,6.57,6.59,6.64,6.68,6.75,6.83,6.91
11/20/2000,6.63,6.55,6.58,6.63,6.68,6.75,6.83,6.9
11/21/2000,6.64,6.57,6.6,6.65,6.7,6.77,6.84,6.92
11/22/2000,6.61,6.53,6.56,6.61,6.66,6.73,6.81,6.87
11/24/2000,6.63,6.56,6.59,6.64,6.68,6.74,6.81,6.86
11/27/2000,6.63,6.55,6.58,6.63,6.67,6.74,6.8,6.86
11/28/2000,6.6,6.51,6.54,6.58,6.63,6.69,6.77,6.86
11/29/2000,6.56,6.47,6.49,6.54,6.58,6.66,6.75,6.84
11/30/2000,6.49,6.38,6.41,6.46,6.51,6.59,6.67,6.77
12/1/2000,6.48,6.38,6.4,6.44,6.48,6.56,6.64,6.74
12/4/2000,6.45,6.34,6.36,6.41,6.46,6.54,6.63,6.72
12/5/2000,6.39,6.28,6.3,6.36,6.41,6.49,6.58,6.7
12/6/2000,6.32,6.2,6.21,6.25,6.29,6.36,6.44,6.59
12/7/2000,6.31,6.19,6.2,6.23,6.26,6.33,6.41,6.56
12/8/2000,6.3,6.17,6.17,6.2,6.22,6.28,6.34,6.48
12/11/2000,6.33,6.21,6.21,6.23,6.26,6.31,6.37,6.49
12/12/2000,6.33,6.23,6.23,6.26,6.28,6.33,6.38,6.48
12/13/2000,6.26,6.15,6.15,6.17,6.19,6.23,6.29,6.42
12/14/2000,6.19,6.05,6.04,6.05,6.06,6.1,6.14,6.29
12/15/2000,6.19,6.05,6.05,6.07,6.08,6.12,6.17,6.29
12/18/2000,6.12,5.96,5.95,5.96,5.98,6.01,6.06,6.22
12/19/2000,6.15,6.02,6.03,6.06,6.09,6.14,6.21,6.35
12/20/2000,6.07,5.92,5.93,5.96,5.99,6.04,6.11,6.28
12/21/2000,6,5.87,5.87,5.9,5.93,5.99,6.07,6.25
12/22/2000,5.94,5.81,5.83,5.87,5.91,5.97,6.05,6.23
12/26/2000,5.93,5.8,5.82,5.86,5.9,5.97,6.04,6.22
12/27/2000,5.97,5.87,5.89,5.93,5.97,6.03,6.1,6.25
12/28/2000,5.99,5.92,5.96,6.01,6.05,6.11,6.19,6.31
12/29/2000,5.95,5.85,5.89,5.94,5.98,6.05,6.13,6.28
1/2/2001,5.81,5.68,5.71,5.74,5.79,5.85,5.95,6.18
1/3/2001,5.77,5.66,5.69,5.73,5.78,5.84,5.92,6.13
1/4/2001,5.48,5.51,5.61,5.71,5.78,5.88,6,6.21
1/5/2001,5.35,5.38,5.48,5.58,5.64,5.76,5.9,6.15
1/8/2001,5.27,5.27,5.36,5.44,5.5,5.62,5.77,6.03
1/9/2001,5.33,5.34,5.42,5.5,5.57,5.7,5.85,6.11
1/10/2001,5.37,5.38,5.47,5.55,5.62,5.75,5.9,6.13
1/11/2001,5.39,5.42,5.53,5.62,5.7,5.82,5.96,6.17
