,1-Mar-07,1-Jun-07,1-Sep-07,1-Dec-07,1-Mar-08,1-Jun-08,1-Sep-08,1-Dec-08,1-Mar-09,1-Jun-09,1-Sep-09,1-Dec-09,1-Mar-10
5-Feb-07,53.375,53.25,52.25,52,51.25,51.25,51.25,51.25,51.75,51.75,51.75,51.75,51.75
2-Feb-07,52.25,52.5,51.625,51.5,51,51,51,51,51.5,51.5,51.5,51.5,51.625
1-Feb-07,52,52.125,51.625,51.5,50.875,50.875,50.875,50.875,51.5,51.5,51.5,51.5,51.625
31-Jan-07,51.625,51.625,50.5,50.25,50.25,50.25,50.25,50.25,51,51,51,51,51.25
30-Jan-07,51.625,51.25,50.25,50,49.75,49.75,49.75,49.75,51,51,51,51,51.25
29-Jan-07,51.625,51.25,50.25,50.25,50.25,50.25,50.25,50.25,50.875,50.875,50.875,50.875,51.25
26-Jan-07,51.625,51,50.25,50.25,50.25,50.25,50.25,50.25,50.875,50.875,50.875,50.875,51.25
25-Jan-07,51.625,50.875,49.875,49.875,49.75,49.75,49.75,49.75,50.625,50.625,50.625,50.625,51.125
24-Jan-07,51.125,50.5,49.5,49.5,49.625,49.625,49.625,49.625,50.625,50.625,50.625,50.625,51.125
23-Jan-07,51.75,50.5,49.5,49.5,49.625,49.625,49.625,49.625,50.625,50.625,50.625,50.625,51.125
22-Jan-07,51.75,50.5,49.75,49.75,50,50,50,50,50.625,50.625,50.625,50.625,51.125
19-Jan-07,51.75,50.625,50,50,50,50,50,50,50.625,50.625,50.625,50.625,51.125
18-Jan-07,51.75,50.625,49.75,49.75,49.625,49.625,49.625,49.625,50.625,50.625,50.625,50.625,51.125
16-Jan-07,51.75,50.5,49.625,49.625,49.375,49.375,49.375,49.375,50.625,50.625,50.625,50.625,51.125
11-Jan-07,51.75,50,49.5,49.5,49.125,49.125,49.125,49.125,50.375,50.375,50.375,50.375,51
10-Jan-07,51.5,49.75,49.25,49.25,49,49,49,49,50.375,50.375,50.375,50.375,51
9-Jan-07,51.5,49.75,49.5,49.5,49.75,49.75,49.75,49.75,50.625,50.625,50.625,50.625,51
8-Jan-07,51.125,49.75,49.5,49.5,49.75,49.75,49.75,49.75,50.625,50.625,50.625,50.625,51
4-Jan-07,51.125,50.25,50.25,50.25,50,50,50,50,50.625,50.625,50.625,50.625,51
3-Jan-07,51.5,50.5,50.5,50.5,50.25,50.25,50.25,50.25,50.75,50.75,50.75,50.75,51
18-Dec-06,52.35,51.25,50.875,50.875,50.625,50.625,50.625,50.625,50.75,50.75,50.75,50.75,51
15-Dec-06,52.25,51.25,50.875,50.875,50.625,50.625,50.625,50.625,50.75,50.75,50.75,50.75,51
14-Dec-06,52.25,51.125,50.875,50.875,50.625,50.625,50.625,50.625,50.75,50.75,50.75,50.75,51
11-Dec-06,52.25,51.125,50.875,50.75,50.625,50.625,50.625,50.625,50.75,50.75,50.75,50.75,51
6-Dec-06,52,51.375,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,51
5-Dec-06,51.875,50.75,50.25,50.25,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,51
4-Dec-06,52.25,51.125,51,51,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,51
1-Dec-06,52.375,51.25,51.125,51.125,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,51
29-Nov-06,52.375,51.25,50.75,50.625,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,51
28-Nov-06,52,51,50.5,50.5,50.5,50.5,50.5,50.5,50.75,50.75,50.75,50.75,51
27-Nov-06,50.5,50,49.875,49.875,49.875,49.875,49.875,49.875,49.875,49.875,49.875,49.875,49.875
20-Nov-06,48.75,48.75,48.5,48.5,48.75,48.75,48.75,48.75,49.5,49.5,49.5,49.5,49.75
17-Nov-06,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,49.75,49.75,49.75,49.75,50
16-Nov-06,48.75,48.375,48.375,48.375,49,49,49,49,49.875,49.875,49.875,49.875,50.125
15-Nov-06,50.125,48.125,48.125,48.125,48.75,48.75,48.75,48.75,49.875,49.875,49.875,49.875,50.125
14-Nov-06,47.75,47.5,47.75,48.125,48.625,48.625,48.625,48.625,49.875,49.875,49.875,49.875,50.125
13-Nov-06,47.625,47.5,47.75,48.125,48.625,48.625,48.625,48.625,49.875,49.875,49.875,49.875,50.125
8-Nov-06,47.5,47.5,47.75,48.125,48.625,48.625,48.625,48.625,49.875,49.875,49.875,49.875,50.125
6-Nov-06,47.375,47.375,47.625,48,48.5,48.5,48.5,48.5,49.75,49.75,49.75,49.75,50
