,1-Mar-07,1-Jun-07,1-Sep-07,1-Dec-07,1-Mar-08,1-Jun-08,1-Sep-08,1-Dec-08,1-Mar-09,1-Jun-09,1-Sep-09,1-Dec-09,1-Mar-10
5-Feb-07,0.00710086,0.004728212,0.00401128,0.003220637,0.001629995,0.001629995,0.001629995,0.001629995,0.001614208,0.001614208,0.001614208,0.001614208,0.000806127
2-Feb-07,0.004796172,0.007168489,0,0,0.002453989,0.002453989,0.002453989,0.002453989,0,0,0,0,0
1-Feb-07,0.007237667,0.009638629,0.022032715,0.024571261,0.012361097,0.012361097,0.012361097,0.012361097,0.009756175,0.009756175,0.009756175,0.009756175,0.007290433
31-Jan-07,0,0.007290433,0.004962789,0.004987542,0.010000083,0.010000083,0.010000083,0.010000083,0,0,0,0,0
30-Jan-07,0,0,0,-0.004987542,-0.010000083,-0.010000083,-0.010000083,-0.010000083,0.002453989,0.002453989,0.002453989,0.002453989,0
29-Jan-07,0,0.001629995,0,0,0,0,0,0,0,0,0,0,0
26-Jan-07,0,0.002453989,0.007490672,0.007490672,0.010000083,0.010000083,0.010000083,0.010000083,0.004926118,0.004926118,0.004926118,0.004926118,0.002442004
25-Jan-07,0.009732437,0.007398307,0.007547206,0.007547206,0.002515725,0.002515725,0.002515725,0.002515725,0,0,0,0,0
24-Jan-07,-0.012150818,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-07,0,0,-0.005037794,-0.005037794,-0.007528266,-0.007528266,-0.007528266,-0.007528266,0,0,0,0,0
22-Jan-07,0,-0.000824063,-0.001670847,-0.001670847,0,0,0,0,0,0,0,0,0
19-Jan-07,0,0,0.005012542,0.005012542,0.007528266,0.007528266,0.007528266,0.007528266,0,0,0,0,0
18-Jan-07,0,0.002472189,0.002515725,0.002515725,0.005050516,0.005050516,0.005050516,0.005050516,0,0,0,0,0
16-Jan-07,0,0.002487583,0.000630517,0.000630517,0.001269038,0.001269038,0.001269038,0.001269038,0.001237626,0.001237626,0.001237626,0.001237626,0.000611995
11-Jan-07,0.004842624,0.005012542,0.005063302,0.005063302,0.002547772,0.002547772,0.002547772,0.002547772,0,0,0,0,0
10-Jan-07,0,0,-0.005063302,-0.005063302,-0.015190165,-0.015190165,-0.015190165,-0.015190165,-0.004950505,-0.004950505,-0.004950505,-0.004950505,0
9-Jan-07,0.007308193,0,0,0,0,0,0,0,0,0,0,0,0
8-Jan-07,0,-0.003333361,-0.005012626,-0.005012626,-0.001670847,-0.001670847,-0.001670847,-0.001670847,0,0,0,0,0
4-Jan-07,-0.007308193,-0.004962789,-0.004962789,-0.004962789,-0.004987542,-0.004987542,-0.004987542,-0.004987542,-0.002466092,-0.002466092,-0.002466092,-0.002466092,0
3-Jan-07,-0.01637013,-0.014742282,-0.007398307,-0.007398307,-0.007434978,-0.007434978,-0.007434978,-0.007434978,0,0,0,0,0
18-Dec-06,0.000637349,0,0,0,0,0,0,0,0,0,0,0,0
15-Dec-06,0,0.002442004,0,0,0,0,0,0,0,0,0,0,0
14-Dec-06,0,0,0,0.002460026,0,0,0,0,0,0,0,0,0
11-Dec-06,0.001598724,-0.001626019,0.000820009,0,-0.000822031,-0.000822031,-0.000822031,-0.000822031,0,0,0,0,0
6-Dec-06,0.00240674,0.012240055,0.009901071,0.009901071,0,0,0,0,0,0,0,0,0
5-Dec-06,-0.007202912,-0.007361996,-0.014815086,-0.014815086,0,0,0,0,0,0,0,0,0
4-Dec-06,-0.000796496,-0.000814001,-0.000815994,-0.000815994,0,0,0,0,0,0,0,0,0
1-Dec-06,0,0,0.007361996,0.009828089,0,0,0,0,0,0,0,0,0
29-Nov-06,0.00718566,0.004889985,0.004938282,0.002472189,0.004938282,0.004938282,0.004938282,0.004938282,0,0,0,0,0
28-Nov-06,0.029270382,0.019802627,0.012453461,0.012453461,0.012453461,0.012453461,0.012453461,0.012453461,0.017391743,0.017391743,0.017391743,0.017391743,0.022305758
27-Nov-06,0.007053628,0.005063562,0.005591215,0.005591215,0.004562936,0.004562936,0.004562936,0.004562936,0.001509441,0.001509441,0.001509441,0.001509441,0.000501882
20-Nov-06,0,0,-0.0017138,-0.0017138,0,0,0,0,-0.001679265,-0.001679265,-0.001679265,-0.001679265,-0.001670847
17-Nov-06,0,0.007722046,0.007722046,0.007722046,-0.005115101,-0.005115101,-0.005115101,-0.005115101,-0.002509412,-0.002509412,-0.002509412,-0.002509412,-0.00249688
16-Nov-06,-0.027814688,0.005181359,0.005181359,0.005181359,0.005115101,0.005115101,0.005115101,0.005115101,0,0,0,0,0
15-Nov-06,0.048540819,0.013072082,0.007822726,0,0.002567396,0.002567396,0.002567396,0.002567396,0,0,0,0,0
14-Nov-06,0.002621233,0,0,0,0,0,0,0,0,0,0,0,0
13-Nov-06,0.000876041,0,0,0,0,0,0,0,0,0,0,0,0
8-Nov-06,0.002635048,0.002635048,0.002621233,0.002600782,0.002574004,0.002574004,0.002574004,0.002574004,0.002509412,0.002509412,0.002509412,0.002509412,0.00249688
6-Nov-06,0.00088067,0,0,0,0,0,0,0,0,0,0,0,0
2-Nov-06,0,0,0,0,0,0,0,0,0.002515725,0.002515725,0.002515725,0.002515725,0.00250313
1-Nov-06,0.010638398,0.005291018,0.00526317,0.005221944,0,0,0,0,0,0,0,0,0
27-Oct-06,0.010752792,0.005319161,0.002642009,0.002621233,0,0,0,0,0,0,0,0,0
