"NAME","COMMODITY_GRP","STRESS_VALUE","FILTER","FILTER_VALUE"
"Dn1s","INTERNATIONAL COAL",-1.10371231091439,"",NA
"Dn1s","DOMESTIC COAL",-1.10371231091439,"",NA
"Dn1s","GAS",-0.121836930836476,"",NA
"Dn1s","POWER",-0.611135271647223,"",NA
"Dn2s","INTERNATIONAL COAL",-2.20742462182877,"",NA
"Dn2s","DOMESTIC COAL",-2.20742462182877,"",NA
"Dn2s","GAS",-0.243673861672953,"",NA
"Dn2s","POWER",-1.22227054329445,"",NA
"Dn4s","INTERNATIONAL COAL",-4.41484924365754,"",NA
"Dn4s","DOMESTIC COAL",-4.41484924365754,"",NA
"Dn4s","GAS",-0.487347723345905,"",NA
"Dn4s","POWER",-2.44454108658889,"",NA
"Dn8s","INTERNATIONAL COAL",-8.82969848731509,"",NA
"Dn8s","DOMESTIC COAL",-8.82969848731509,"",NA
"Dn8s","GAS",-0.97469544669181,"",NA
"Dn8s","POWER",-4.88908217317779,"",NA
"Up1s","INTERNATIONAL COAL",1.10371231091439,"",NA
"Up1s","DOMESTIC COAL",1.10371231091439,"",NA
"Up1s","GAS",0.121836930836476,"",NA
"Up1s","POWER",0.611135271647223,"",NA
"Up2s","INTERNATIONAL COAL",2.20742462182877,"",NA
"Up2s","DOMESTIC COAL",2.20742462182877,"",NA
"Up2s","GAS",0.243673861672953,"",NA
"Up2s","POWER",1.22227054329445,"",NA
"Up4s","INTERNATIONAL COAL",4.41484924365754,"",NA
"Up4s","DOMESTIC COAL",4.41484924365754,"",NA
"Up4s","GAS",0.487347723345905,"",NA
"Up4s","POWER",2.44454108658889,"",NA
"Up8s","INTERNATIONAL COAL",8.82969848731509,"",NA
"Up8s","DOMESTIC COAL",8.82969848731509,"",NA
"Up8s","GAS",0.97469544669181,"",NA
"Up8s","POWER",4.88908217317779,"",NA
"Epsilon","INTERNATIONAL COAL",0.01,"",NA
"Epsilon","DOMESTIC COAL",0.01,"",NA
"Epsilon","GAS",0.001,"",NA
"Epsilon","POWER",0.01,"",NA
"Trd10ColDn10","INTERNATIONAL COAL",-10,"CONTRACTYEAR",2010
"Trd10ColDn10","DOMESTIC COAL",-10,"CONTRACTYEAR",2010
"Trd10ColDn2","INTERNATIONAL COAL",-2,"CONTRACTYEAR",2010
"Trd10ColDn2","DOMESTIC COAL",-2,"CONTRACTYEAR",2010
"Trd10ColDn5","INTERNATIONAL COAL",-5,"CONTRACTYEAR",2010
"Trd10ColDn5","DOMESTIC COAL",-5,"CONTRACTYEAR",2010
"Trd10ColUp10","INTERNATIONAL COAL",10,"CONTRACTYEAR",2010
"Trd10ColUp10","DOMESTIC COAL",10,"CONTRACTYEAR",2010
"Trd10ColUp2","INTERNATIONAL COAL",2,"CONTRACTYEAR",2010
"Trd10ColUp2","DOMESTIC COAL",2,"CONTRACTYEAR",2010
"Trd10ColUp5","INTERNATIONAL COAL",5,"CONTRACTYEAR",2010
"Trd10ColUp5","DOMESTIC COAL",5,"CONTRACTYEAR",2010
"Trd10GasDn20","GAS",-0.2,"CONTRACTYEAR",2010
"Trd10GasDn50","GAS",-0.5,"CONTRACTYEAR",2010
"Trd10GasDn80","GAS",-0.8,"CONTRACTYEAR",2010
"Trd10GasUp20","GAS",0.2,"CONTRACTYEAR",2010
"Trd10GasUp50","GAS",0.5,"CONTRACTYEAR",2010
"Trd10GasUp80","GAS",0.8,"CONTRACTYEAR",2010
"Trd10PwrDn1","POWER",-1,"CONTRACTYEAR",2010
"Trd10PwrDn3","POWER",-3,"CONTRACTYEAR",2010
"Trd10PwrDn5","POWER",-5,"CONTRACTYEAR",2010
"Trd10PwrUp1","POWER",1,"CONTRACTYEAR",2010
"Trd10PwrUp3","POWER",3,"CONTRACTYEAR",2010
"Trd10PwrUp5","POWER",5,"CONTRACTYEAR",2010
"TrdColDn10","INTERNATIONAL COAL",-10,"",NA
"TrdColDn10","DOMESTIC COAL",-10,"",NA
"TrdColDn2","INTERNATIONAL COAL",-2,"",NA
"TrdColDn2","DOMESTIC COAL",-2,"",NA
"TrdColDn5","INTERNATIONAL COAL",-5,"",NA
"TrdColDn5","DOMESTIC COAL",-5,"",NA
"TrdColUp10","INTERNATIONAL COAL",10,"",NA
"TrdColUp10","DOMESTIC COAL",10,"",NA
"TrdColUp2","INTERNATIONAL COAL",2,"",NA
"TrdColUp2","DOMESTIC COAL",2,"",NA
"TrdColUp5","INTERNATIONAL COAL",5,"",NA
"TrdColUp5","DOMESTIC COAL",5,"",NA
"TrdGasDn20","GAS",-0.2,"",NA
"TrdGasDn50","GAS",-0.5,"",NA
"TrdGasDn80","GAS",-0.8,"",NA
"TrdGasUp20","GAS",0.2,"",NA
"TrdGasUp50","GAS",0.5,"",NA
"TrdGasUp80","GAS",0.8,"",NA
"TrdPwrDn1","POWER",-1,"",NA
"TrdPwrDn3","POWER",-3,"",NA
"TrdPwrDn5","POWER",-5,"",NA
"TrdPwrUp1","POWER",1,"",NA
"TrdPwrUp3","POWER",3,"",NA
"TrdPwrUp5","POWER",5,"",NA
